Year	Food crops	Animal husbandry	Farm cash crops	Estate crops	Fisheries	Forestry	Mining	Manufacturing	Utilities	Construction	Trade	Transport, communications	Financial services	Housing	Public administration	Other services	Oil,Gas	Total
1880	12,93	4,24	710	135	1,29	357	1,81	4,44	1	273	6,21	373	937	5,49	982	4,45	0	44,64
1881	14,45	4,3	837	185	1,3	432	1,68	4,49	1	278	6,53	390	1,4	5,57	1,02	4,61	0	47,47
1882	13,28	4,35	734	184	1,31	388	1,54	4,51	1	347	6,38	415	1,4	5,42	1,07	4,54	0	45,87
1883	12,62	4,41	733	202	1,33	395	1,45	4,57	2	305	6,34	491	1,44	5,35	1,18	4,55	0	45,37
1884	14,61	4,47	801	227	1,34	435	1,66	4,62	2	333	6,8	546	1,64	5,65	1,45	4,77	0	49,34
1885	15,18	4,54	803	202	1,37	425	1,45	4,7	2	309	6,91	626	1,71	5,71	1,43	4,86	0	50,21
1886	14,68	4,62	940	216	1,39	489	1,45	4,78	1	354	6,96	632	1,73	5,69	1,4	4,9	0	50,24
1887	14,7	4,7	867	199	1,41	451	1,95	4,85	1	448	6,99	649	1,79	5,69	1,34	4,98	0	51
1888	14,33	4,78	920	195	1,43	472	1,96	4,91	1	422	7,06	704	1,85	5,67	1,46	5,02	0	51,17
1889	14,03	4,86	909	220	1,44	478	1,75	4,95	1	381	7,15	848	1,9	5,66	1,47	5,04	0	51,09
1890	13,57	4,96	793	217	1,48	427	1,68	5,08	1	418	7,06	951	1,85	5,59	1,29	5,07	0	50,42
1891	13,56	5	983	237	1,48	516	1,99	5,11	1	456	7,22	1,1	1,9	5,65	1,29	5,15	0	51,64
1892	15,12	5,06	1,03	244	1,5	538	2,18	5,17	1	403	7,45	1,15	1,78	5,81	1,16	5,3	0	53,91
1893	16,11	5,11	828	231	1,5	448	2,17	5,17	2	386	7,55	1,17	1,82	5,9	1,26	5,35	0	55,01
1894	15,53	5,16	1,05	267	1,52	555	2,39	5,24	2	485	7,67	1,22	1,88	5,9	1,48	5,43	169	55,94
1895	16,08	5,22	914	156	1,55	452	2,07	5,34	2	348	7,7	1,31	1,98	5,91	1,66	5,5	254	56,45
1896	15,45	5,23	1,06	269	1,57	561	2,19	5,4	2	494	7,8	1,39	1,98	5,91	1670	5,55	340	56,85
1897	16,11	5,25	1,01	306	1,59	556	2,48	5,49	2	543	7,86	1,49	1,76	5,95	1,23	5,64	593	57,85
1898	15,32	5,27	1,07	325	1,62	591	2,66	5,58	2	590	7,92	1,58	2,01	5,92	1,55	5,71	677	58,39
1899	16,86	5,29	1,15	370	1,65	643	3,1	5,68	2	593	8,25	1,86	2,26	6,13	1,57	5,94	423	61,77
1900	17,29	5,32	1,21	373	1,68	671	4,02	5,78	3	634	8,43	2,08	2,21	6,2	1,59	6,1	509	64,09
1901	17,12	5,32	1,22	360	1,7	666	3,23	5,85	3	641	8,42	2,24	1,97	6,17	1,32	6,08	931	63,23
1902	15,67	5,32	1,4	443	1,72	778	2,69	5,92	3	880	8,39	2,52	2,01	6,11	1,53	6,08	593	62,04
1903	17,01	5,33	1,37	471	1,74	780	3,51	5,99	4	776	8,57	2,7	2,03	6,24	1,52	6,26	1,36	65,66
1904	17,61	5,33	1,32	458	1,76	751	2,82	6,07	4	821	8,74	2,88	2,18	6,31	1,68	6,35	1,53	66,61
1905	17,54	5,34	1,59	474	1,78	873	2,28	6,14	5	783	8,94	3,08	2,28	6,37	1,75	6,42	1,86	67,52
1906	18,71	5,4	1,51	500	1,81	852	2,28	6,22	6	787	9,14	3,27	2,37	6,49	1,66	6,56	1,86	69,42
1907	18,57	5,45	1,81	537	1,83	991	2,52	6,29	6	1	9,31	3,63	2,25	6,56	1,52	6,67	2,29	71,22
1908	18,07	5,51	1,67	539	1,85	935	2,68	6,36	6	968	9,26	3,92	2,29	6,52	1,59	6,72	2,38	71,25
1909	19,92	5,57	1,61	517	1,87	901	2,58	6,44	7	970	9,58	4,29	2,55	6,72	1,78	6,95	2,54	74,79
1910	21,28	5,63	1,75	551	1,89	973	3,26	6,51	8	1,24	10,01	4,79	2,75	6,94	2,05	7,24	2,54	79,41
1911	21,91	5,69	1,71	681	1,92	1,01	4,4	6,59	9	1,36	10,24	5,53	2,84	7,07	2,01	7,49	2,79	83,24
1912	21,66	5,82	2	640	1,94	1,12	4,87	6,67	10	1,54	10,36	6,09	2,76	7,13	1,88	7,65	2,55	84,65
1913	22,43	5,94	1,85	643	1,96	1,05	5,52	6,75	12	2,02	10,63	6,56	2,91	7,27	2,5	7,9	2,63	88,56
1914	22,84	6,15	1,83	637	1,98	1,04	4,43	6,83	13	1,77	10,72	6,73	3,04	7,31	2,71	7,92	2,63	88,57
1915	23,52	6,25	1,78	640	2,01	1,03	3,77	6,91	14	1,91	10,85	6,67	3,42	7,39	2,8	8,04	2,79	89,79
1916	22,39	6,19	1,75	800	2,03	1,08	5,1	6,99	15	1,83	10,8	7,04	3,44	7,32	2,79	8,14	2,89	90,57
1917	23,45	6,13	1,57	831	2,05	1,01	3,85	7,07	16	1,75	10,82	7,17	3,56	7,38	2,93	8,21	3,05	90,84
1918	24,76	6,06	1,78	848	2,05	1,11	3,46	7,07	17	2,07	11,15	7,25	3,47	7,53	2,79	8,298	2,96	92,68
1919	25,61	5,99	2,97	680	2,08	1,55	5,07	7,17	18	1,58	11,94	8,31	4,47	7,83	3,92	8,746	3,56	101,48
1920	23,63	5,89	2,42	765	2,11	1,35	4,3	7,26	20	2,45	11,51	9,59	3,42	7,67	3,55	8,654	4,07	98,64
1921	22,04	6,02	2,5	798	2,13	1,4	4,4	7,35	23	2,23	11,58	10,23	3,61	7,62	4,21	8,785	3,93	98,86
1922	24,17	6,09	2,62	880	2,16	1,48	4,73	7,44	24	2,16	11,78	9,6	3,89	7,76	3,9	9,023	3,96	101,66
1923	23,81	6,28	2,92	923	2,19	1,62	5,32	7,53	25	2,32	11,97	9,37	4,28	7,8	3,64	9,122	4,61	103,71
1924	24,86	6,46	3,45	1,02	2,21	1,89	5,76	7,62	26	2,22	12,64	9,8	5,2	8,04	3,71	9,471	4,75	109,1
1925	23,72	6,94	3,71	1,19	2,24	2,08	5,33	7,71	27	2,81	13,12	10,48	5,13	8,13	3,99	9,664	4,97	111,23
1926	25,75	7,24	3,84	1,12	2,27	2,13	6,59	7,8	30	3,2	13,63	11,27	5,2	8,38	4,4	10,09	4,93	117,83
1927	26,97	7,37	4,15	1,3	2,29	2,41	6,81	7,9	33	3,62	14,21	12,57	5,46	8,65	4,7	10,493	6,37	125,3
1928	26,03	7,82	4,5	1,5	2,32	2,57	6,98	7,99	37	4,21	14,68	13,8	5,32	8,78	5,21	10,706	7,45	129,9
1929	24,41	7,57	4,5	1,52	2,35	2,87	7,08	8,74	42	4,88	14,98	14,8	4,78	8,79	5,6	10,812	9,11	132,84
1930	26,97	7,28	4,18	1,53	2,38	2,15	7,02	9,9	47	4,1	15,13	14,22	4,56	8,82	5,68	10,912	9,68	134,54
1931	26,38	7,09	4,17	1,54	2,41	1,67	5,73	9,26	48	3,04	14,27	12,86	4,4	8,49	5,45	10,704	8,24	125,76
1932	27,52	6,63	4,08	1,47	2,45	1,3	3,36	8,02	45	2,56	13,37	11,97	4,46	8,28	5,37	10,528	9,05	120,47
1933	28,12	6,47	4,22	1,17	2,49	1,1	3,05	8,86	43	2,17	13,61	11,21	4,65	8,27	5,32	10,601	9,9	121,22
1934	25,85	6,6	4,84	1,05	2,52	1,24	3,94	9,95	41	2,13	14,03	10,84	4,63	8,23	5,34	10,693	10,79	122,7
1935	28,4	6,78	4,74	938	2,56	1,36	4,6	9,55	43	2,46	14,22	9,73	4,85	8,32	5,24	10,878	10,94	125,61
1936	30,13	6,67	4,99	1,01	2,6	1,51	6,19	9,6	47	2,74	14,65	10,34	5,41	8,53	5,74	11,284	11,6	133,02
1937	29,76	7,81	5,55	1,42	2,64	1,92	7,77	13,26	52	3,11	17,5	11,52	5,68	9,07	6,08	12,06	13,16	148,35
1938	31,38	6,98	5,2	1,29	2,67	1,99	5,47	12,53	58	3,46	16,92	12,28	5,61	9,06	6,69	12,092	13,3	146,99
1939	31,53	7,21	5,29	1,42	2,71	2,04	5,76	12,36	65	3,94	16,83	12,29	5,03	9,05	5,63	12,184	14,4	147,73
1940	33,24	7,25	5,45	1,49	2,75	2,17	8,84	14,14	90	4,28	18,17	11,92	7,44	9,43	7,51	12,972	14,39	161,51
1941	34,55	7,4	5,79	1,55	2,86	2,4	10,28	15,26	94	4,03	19,12	12,98	8,36	9,7	7,8	13,48	12,46	168,1
1949	30,08	6,86	4,31	532	2,49	1,01	5,55	7,43	68	2,53	12,74	6,96	4,44	7,98	3,19	11,115	10,02	117,31
1950	28,1	7,03	7,27	565	2,33	1,49	6,17	10,26	74	2,53	14,8	8,5	5,14	8,38	6,07	11,966	11,23	131,92
1951	29,09	7,29	8,34	713	3,04	1,45	6,32	13,1	81	3,04	17	9,37	4,69	8,8	4,44	12,464	12,86	142,08
1952	28,37	8,04	7,3	884	3,41	1,82	6,83	13,82	87	4,16	17,97	9,35	5,34	8,95	5,94	14,176	14,5	150,94
1953	29,98	7,9	6,09	995	3,68	1,89	6,51	13,85	104	3,81	17,87	10,47	5,67	9,03	5,83	14,848	17,41	155,91
1954	33,58	7,97	7,47	997	3,75	1,7	6,74	14,53	109	4,69	18,97	11,18	6,87	9,43	5,39	15,561	18,45	167,39
1955	30,95	8,84	7,03	1,01	3,99	1,89	6,22	15,3	123	5,28	19,12	12,46	6,39	9,46	4,32	15,734	19,94	168,07
1956	31,56	9,04	6,73	980	4,26	1,81	5,72	16,3	127	5,69	20,2	11,96	6,36	9,57	4,62	16,014	21,64	172,56
1957	31,86	8,64	6,74	993	4,34	1,9	5,48	16,97	128	5,19	20,07	12,26	7,57	9,64	5,39	16,284	26,42	179,88
1958	34,88	8,51	6,32	930	4,1	1,66	4,56	15,18	145	4,43	19,69	11,19	7,37	9,56	5,1	16,351	27,52	177,5
1959	35,64	9,04	7,69	934	4,5	1,72	4,4	15,35	163	4,63	20,3	12,3	7,89	9,8	5,3	17,285	31,59	188,53
1960	37,03	9,1	7,8	861	4,51	1,88	4,48	15,67	163	4,63	20,74	13,65	8,19	9,96	5,88	18,059	34,78	197,38
1961	35,05	11,46	7,9	870	4,84	2,08	3,91	18,28	177	5,97	23,65	13,15	8,87	10,27	6,29	19,014	35,92	207,72
1962	38,74	11,37	8,64	826	5,2	1,75	3,51	17,21	192	5,04	23,5	12,44	7,54	10,29	3,12	19,477	38,39	207,22
1963	34,16	11,05	8,84	840	5,58	1,65	3,03	15,36	222	3,81	22,28	12,02	6,46	9,95	3,76	19,65	37,59	196,24
1964	38,68	11,5	7,73	861	5,92	1,19	3,22	16,54	251	3,81	23,2	11,79	7,62	10,21	3,67	20,777	38,77	205,71
1965	37,56	11,42	8,58	905	6,57	613	3,2	19,03	251	4,33	24,32	12,2	7,33	10,38	3,36	21,813	40,7	212,55
1966	40,18	11,94	8,37	806	7,17	764	2,83	17,39	251	4,92	24,14	10,47	6,13	10,39	3,42	22,691	39,34	211,18
1967	36,985	10,38	8,314	803	7,038	1,44	2,804	19,16	325	4,275	24,134	9,101	5,881	10,265	3,771	21,168	42,792	208,638
1968	41,953	9,814	8,419	818	6,91	3,705	3,532	21,659	340	5,154	26,447	9,436	6,241	10,724	3,543	22,134	51,002	231,831
1969	41,662	10,885	9,251	887	7,24	4,477	3,829	23,07	444	7,028	28,186	9,321	7,141	11,032	6,403	23,008	62,851	256,715
1970	46,232	10,954	9,184	939	7,324	6,369	4,547	30,198	444	8,785	32,991	9,964	8,413	11,751	6,635	24,644	72,27	291,644
1971	47,188	9,405	8,795	1,03	7,42	7,925	4,887	30,124	444	10,542	33,292	11,182	9,23	11,92	7,568	24,983	75,534	301,47
1972	45,963	10,709	9,521	1,075	7,565	9,527	5,579	34,848	447	13,001	36,769	12,053	10,914	12,42	9,599	25,95	91,762	337,703
1973	52,416	10,869	9,014	1,062	7,617	14,287	6,41	41,302	491	14,536	42,834	12,686	12,171	13,223	11,582	27,773	113,331	391,604
1974	54,051	10,574	9,053	1,211	7,967	12,003	7,839	42,349	565	16,768	43,444	12,449	11,935	13,328	13,995	28,413	116,379	402,321
1975	53,832	10,968	9,234	1,268	8,288	9,256	7,476	45,566	592	17,991	44,189	12,381	12,352	13,45	16,222	29,363	110,617	403,044
1976	54,645	11,779	10,241	1,326	8,841	13,118	8,025	48,313	643	18,331	47,841	13,336	13,141	13,898	18,263	31,124	127,659	440,522
